성분코드,성분명,시도,시군구,진료년월,수량,금액
109001ATB,anastrozole,강원,강릉시,2025-01,3218,9132684
109001ATB,anastrozole,강원,강릉시,2025-02,2906,8246202
109001ATB,anastrozole,강원,강릉시,2025-03,2430,6896340
109001ATB,anastrozole,강원,강릉시,2025-04,4662,13230642
109001ATB,anastrozole,강원,강릉시,2025-05,2375,6738882
109001ATB,anastrozole,강원,강릉시,2025-06,2462,6985218
109001ATB,anastrozole,강원,강릉시,2025-07,2909,8255742
109001ATB,anastrozole,강원,강릉시,2025-08,2409,6836742
109001ATB,anastrozole,강원,강릉시,2025-09,3073,8721174
109001ATB,anastrozole,강원,강릉시,2025-10,3561,10095858
109001ATB,anastrozole,강원,강릉시,2025-11,2725,7728762
109001ATB,anastrozole,강원,강릉시,2025-12,2653,7529214
109001ATB,anastrozole,강원,강릉시,2026-01,2796,7923864
109001ATB,anastrozole,강원,강릉시,2026-02,1778,4987304
109001ATB,anastrozole,강원,강릉시,2026-03,2055,5794414
109001ATB,anastrozole,강원,동해시,2025-01,0,0
109001ATB,anastrozole,강원,동해시,2025-02,60,167700
109001ATB,anastrozole,강원,동해시,2025-03,0,0
109001ATB,anastrozole,강원,동해시,2025-04,0,0
109001ATB,anastrozole,강원,동해시,2025-05,130,363350
109001ATB,anastrozole,강원,동해시,2025-06,0,0
109001ATB,anastrozole,강원,동해시,2025-07,15,41925
109001ATB,anastrozole,강원,동해시,2025-08,0,0
109001ATB,anastrozole,강원,동해시,2025-09,0,0
109001ATB,anastrozole,강원,동해시,2025-10,0,0
109001ATB,anastrozole,강원,동해시,2025-11,0,0
109001ATB,anastrozole,강원,동해시,2025-12,0,0
109001ATB,anastrozole,강원,동해시,2026-01,0,0
109001ATB,anastrozole,강원,동해시,2026-02,60,167700
109001ATB,anastrozole,강원,동해시,2026-03,84,234780
109001ATB,anastrozole,강원,삼척시,2025-01,0,0
109001ATB,anastrozole,강원,삼척시,2025-02,0,0
109001ATB,anastrozole,강원,삼척시,2025-03,0,0
109001ATB,anastrozole,강원,삼척시,2025-04,104,295464
109001ATB,anastrozole,강원,삼척시,2025-05,0,0
109001ATB,anastrozole,강원,삼척시,2025-06,0,0
109001ATB,anastrozole,강원,삼척시,2025-07,90,255690
109001ATB,anastrozole,강원,삼척시,2025-08,0,0
109001ATB,anastrozole,강원,삼척시,2025-09,0,0
109001ATB,anastrozole,강원,삼척시,2025-10,0,0
109001ATB,anastrozole,강원,삼척시,2025-11,0,0
109001ATB,anastrozole,강원,삼척시,2025-12,0,0
109001ATB,anastrozole,강원,삼척시,2026-01,0,0
109001ATB,anastrozole,강원,삼척시,2026-02,0,0
109001ATB,anastrozole,강원,삼척시,2026-03,0,0
109001ATB,anastrozole,강원,속초시,2025-01,0,0
109001ATB,anastrozole,강원,속초시,2025-02,0,0
109001ATB,anastrozole,강원,속초시,2025-03,0,0
109001ATB,anastrozole,강원,속초시,2025-04,28,78260
109001ATB,anastrozole,강원,속초시,2025-05,0,0
109001ATB,anastrozole,강원,속초시,2025-06,0,0
109001ATB,anastrozole,강원,속초시,2025-07,0,0
109001ATB,anastrozole,강원,속초시,2025-08,0,0
109001ATB,anastrozole,강원,속초시,2025-09,0,0
109001ATB,anastrozole,강원,속초시,2025-10,0,0
109001ATB,anastrozole,강원,속초시,2025-11,0,0
109001ATB,anastrozole,강원,속초시,2025-12,0,0
109001ATB,anastrozole,강원,속초시,2026-01,0,0
109001ATB,anastrozole,강원,속초시,2026-02,0,0
109001ATB,anastrozole,강원,속초시,2026-03,0,0
109001ATB,anastrozole,강원,원주시,2025-01,4187,11868587
109001ATB,anastrozole,강원,원주시,2025-02,4403,12508923
109001ATB,anastrozole,강원,원주시,2025-03,3422,9695222
